,0 1
1179,199 41
1180,199 94
1181,199 95
1182,199 207
1183,199 201
1184,429 139
1185,429 46
1186,340 10
1187,46 429
1188,363 63
1189,162 492
1190,64 91
1191,62 81
1192,132 271
1193,428 139
1194,428 446
1195,428 447
1196,346 157
1197,346 294
1198,450 440
1199,450 275
1200,450 458
1201,95 13
1202,186 121
1203,321 103
1204,10 260
1205,493 294
1206,494 83
1207,440 450
1208,312 377
1209,33 23
1210,490 106
1211,3 2
1212,64 141
1213,210 159
1214,210 158
1215,309 74
1216,309 272
1217,309 223
1218,257 278
1219,251 251
1220,107 161
1221,190 106
1222,168 129
1223,86 295
1224,20 495
1225,495 20
1226,379 157
1227,198 183
1228,282 16
1229,83 496
1230,157 396
1231,497 78
1232,36 28
1233,62 79
1234,295 86
1235,107 4
1236,68 62
1237,28 36
1238,232 232
1239,264 498
1240,298 184
1241,305 285
1242,198 387
1243,86 86
1244,181 181
1245,181 394
1246,181 250
1247,181 377
1248,181 104
1249,278 257
1250,499 44
1251,499 500
1252,499 501
1253,499 502
1254,499 503
1255,499 406
1256,499 407
1257,499 504
1258,499 505
1259,499 43
1260,499 358
1261,499 506
1262,265 267
1263,254 107
1264,7 44
1265,62 226
1266,23 460
1267,131 411
1268,245 113
1269,206 346
1270,62 30
1271,62 23
1272,62 128
1273,62 41
1274,507 243
1275,129 168
1276,508 509
1277,305 58
1278,89 469
1279,96 89
1280,309 309
1281,113 151
1282,141 7
1283,267 498
1284,86 510
1285,128 62
1286,54 281
1287,19 265
1288,485 170
1289,294 346
1290,191 511
1291,174 174
1292,97 300
1293,19 362
1294,260 248
1295,260 297
1296,260 259
1297,35 24
1298,107 174
1299,512 155
1300,174 107
1301,300 97
1302,513 222
1303,113 361
1304,113 263
1305,113 444
1306,113 318
1307,113 423
1308,113 245
1309,174 4
1310,514 514
1311,362 498
1312,5 117
1313,28 35
1314,305 211
1315,129 114
1316,12 12
1317,486 394
1318,178 351
1319,28 23
1320,434 128
1321,434 161
1322,434 19
1323,434 129
1324,174 164
1325,129 365
1326,249 129
1327,411 132
1328,155 512
1329,168 515
1330,516 517
1331,91 514
1332,213 360
1333,269 46
1334,222 513
1335,321 394
1336,515 168
1337,84 84
1338,42 74
1339,345 180
1340,154 363
1341,518 173
1342,354 353
1343,152 62
1344,394 321
1345,283 62
1346,173 518
1347,41 62
1348,51 280
1349,211 285
1350,211 305
1351,141 430
1352,519 519
1353,300 160
1354,160 362
1355,59 520
1356,59 137
1357,211 481
1358,211 208
1359,269 140
1360,160 300
1361,211 286
1362,211 96
1363,521 340
1364,521 134
1365,430 141
1366,62 417
1367,211 55
1368,114 169
1369,4 194
1370,58 252
1371,58 404
1372,522 523
1373,524 72
1374,377 378
1375,377 250
1376,377 368
1377,377 104
1378,377 150
1379,40 438
1380,74 42
1381,7 141
1382,484 87
1383,440 168
1384,59 55
1385,222 215
1386,2 55
1387,499 525
1388,92 520
1389,157 6
1390,157 64
1391,44 44
1392,103 526
1393,263 444
1394,263 423
1395,263 245
1396,263 76
1397,263 485
1398,115 115
1399,174 286
1400,211 371
1401,183 365
1402,44 500
1403,44 43
1404,44 365
1405,527 318
1406,527 48
1407,283 256
1408,283 365
1409,37 36
1410,128 205
1411,527 114
1412,104 394
1413,104 321
1414,114 527
1415,183 106
1416,150 377
1417,6 157
1418,258 258
1419,520 92
1420,30 62
1421,42 87
1422,87 484
1423,300 107
1424,342 139
1425,450 256
1426,107 300
1427,528 64
1428,528 489
1429,21 520
1430,438 40
1431,95 41
1432,105 393
1433,105 493
1434,105 145
1435,105 147
1436,150 368
1437,150 104
1438,249 363
1439,145 212
1440,145 42
1441,145 427
1442,96 302
1443,269 288
1444,466 141
1445,466 529
1446,466 496
1447,466 498
1448,438 170
1449,482 41
1450,438 151
1451,246 530
1452,170 438
1453,48 527
1454,356 329
1455,329 474
1456,506 64
1457,113 442
1458,92 100
1459,356 356
1460,340 531
1461,141 466
1462,477 108
1463,477 91
1464,175 532
1465,113 333
1466,252 408
1467,252 132
1468,252 2
1469,46 269
1470,196 41
1471,173 513
1472,229 229
1473,438 123
1474,160 180
1475,82 366
1476,64 89
1477,434 533
1478,180 257
1479,145 145
1480,89 474
1481,133 51
1482,252 269
1483,106 16
1484,423 263
1485,123 438
1486,534 256
1487,531 340
1488,100 92
1489,318 527
1490,135 251
1491,201 486
1492,284 149
1493,42 190
1494,13 506
1495,300 62
1496,13 535
1497,536 86
1498,168 440
1499,89 437
1500,141 64
1501,177 344
1502,176 176
1503,370 417
1504,114 245
1505,63 520
1506,232 537
1507,466 9
1508,370 40
1509,92 538
1510,211 211
1511,303 13
1512,465 465
1513,15 139
1514,539 78
1515,190 42
1516,447 139
1517,447 446
1518,474 329
1519,160 45
1520,86 540
1521,322 139
1522,249 434
1523,303 62
1524,340 521
1525,184 81
1526,197 128
1527,251 116
1528,328 459
1529,288 252
1530,249 42
1531,249 106
1532,188 459
1533,116 251
1534,541 181
1535,542 183
1536,542 399
1537,542 413
1538,542 168
1539,542 543
1540,542 256
1541,542 419
1542,542 440
1543,542 544
1544,542 275
1545,542 458
1546,542 403
1547,82 283
1548,275 542
1549,42 249
1550,16 106
1551,464 483
1552,42 183
1553,42 81
1554,42 115
1555,84 288
1556,51 133
1557,440 542
1558,288 71
1559,133 128
1560,133 280
1561,288 70
1562,495 363
1563,13 90
1564,440 226
1565,177 17
1566,121 82
1567,121 105
1568,534 544
1569,29 25
1570,29 26
1571,29 27
1572,29 30
1573,29 33
1574,29 34
1575,29 35
1576,29 38
1577,29 39
1578,29 545
1579,151 438
1580,327 5
1581,175 288
1582,91 474
1583,59 54
1584,59 56
1585,59 58
1586,423 455
1587,86 362
1588,40 37
1589,284 377
1590,280 133
1591,13 118
1592,258 402
1593,217 432
1594,217 433
1595,217 366
1596,217 84
1597,217 70
1598,305 57
1599,62 170
1600,181 296
1601,378 377
1602,62 329
1603,331 73
1604,250 181
1605,250 394
1606,250 250
1607,250 377
1608,250 104
1609,423 76
1610,121 233
1611,121 145
1612,121 546
1613,474 478
1614,164 174
1615,255 363
1616,86 536
1617,61 320
1618,155 518
1619,474 110
1620,283 107
1621,283 142
1622,13 2
1623,250 103
1624,160 321
1625,282 254
1626,395 395
1627,113 443
1628,113 547
1629,113 171
1630,12 141
1631,105 121
1632,534 440
1633,544 542
1634,421 529
1635,170 548
1636,545 29
1637,421 496
1638,149 277
1639,149 284
1640,209 233
1641,387 198
1642,298 246
1643,252 412
1644,431 50
1645,89 303
1646,549 550
1647,323 97
1648,323 102
1649,316 379
1650,269 256
1651,240 210
1652,526 103
1653,209 58
1654,45 461
1655,160 61
1656,82 233
1657,82 546
1658,537 232
1659,107 256
1660,496 421
1661,496 529
1662,473 29
1663,462 462
1664,160 319
1665,251 40
1666,97 323
1667,32 23
1668,335 322
1669,86 223
1670,32 26
1671,183 64
1672,434 163
1673,434 255
1674,434 81
1675,434 106
1676,434 471
1677,434 189
1678,434 551
1679,357 357
1680,254 282
1681,254 142
1682,552 305
1683,434 490
1684,362 86
1685,210 240
1686,553 554
1687,553 340
1688,174 285
1689,174 16
1690,174 371
1691,174 46
1692,167 41
1693,167 51
1694,19 7
1695,179 381
1696,140 174
1697,324 555
1698,157 377
1699,423 423
1700,174 3
1701,174 140
1702,107 306
1703,282 226
1704,370 47
1705,370 41
1706,370 38
1707,62 114
1708,62 365
1709,302 89
1710,153 107
1711,434 249
1712,232 321
1713,249 430
1714,195 195
1715,450 95
1716,458 542
1717,321 232
1718,310 78
1719,2 252
1720,185 354
1721,28 114
1722,28 165
1723,28 169
1724,28 367
1725,114 283
1726,114 63
1727,114 62
1728,58 55
1729,58 56
1730,58 59
1731,58 209
1732,114 28
1733,114 165
1734,114 367
1735,306 107
1736,379 316
1737,95 64
1738,116 361
1739,51 29
1740,14 280
1741,215 222
1742,2 13
1743,232 556
1744,377 157
1745,167 351
1746,447 447
1747,377 181
1748,377 296
1749,447 46
1750,359 452
1751,351 167
1752,245 114
1753,245 48
1754,296 377
1755,296 181
1756,385 296
1757,183 543
1758,107 62
1759,296 295
1760,296 385
1761,133 557
1762,359 558
1763,62 256
1764,123 41
1765,285 305
1766,559 282
1767,62 434
1768,62 106
1769,62 249
1770,528 528
1771,308 283
1772,285 208
1773,560 459
1774,2 63
1775,462 561
1776,5 64
1777,5 327
1778,6 327
1779,327 6
1780,283 5
1781,438 438
1782,322 140
1783,322 335
1784,322 273
1785,322 334
1786,6 379
1787,6 489
1788,48 252
1789,412 252
1790,64 95
1791,529 359
1792,372 433
1793,372 86
1794,372 134
1795,372 83
1796,419 542
1797,254 115
1798,254 31
1799,47 41
1800,338 115
1801,47 114
1802,99 107
1803,506 44
1804,506 365
1805,529 421
1806,404 58
1807,447 448
1808,179 180
1809,21 363
1810,562 562
1811,495 211
1812,218 196
1813,96 115
1814,96 170
1815,96 252
1816,170 96
1817,196 95
1818,40 417
1819,160 338
1820,269 216
1821,95 207
1822,181 150
1823,232 284
1824,159 209
1825,40 25
1826,40 27
1827,40 28
1828,40 30
1829,40 33
1830,40 34
1831,40 38
1832,40 39
1833,40 545
1834,150 181
1835,417 318
1836,483 464
1837,3 4
1838,395 157
1839,62 70
1840,563 290
1841,232 133
1842,232 557
1843,115 302
1844,87 441
1845,19 473
1846,504 160
1847,134 372
1848,134 553
1849,134 482
1850,134 173
1851,134 521
1852,87 493
1853,196 128
1854,3 408
1855,450 413
1856,450 172
1857,564 209
1858,116 115
1859,196 280
1860,196 167
1861,196 203
1862,473 460
1863,209 11
1864,135 96
1865,40 448
1866,379 6
1867,12 565
1868,14 430
1869,566 452
1870,278 256
1871,278 180
1872,96 135
1873,223 86
1874,338 28
1875,290 567
1876,129 450
1877,290 568
1878,28 338
1879,173 306
1880,569 360
1881,569 161
1882,569 7
1883,569 566
1884,569 570
1885,569 452
1886,63 571
1887,320 394
1888,136 337
1889,132 62
1890,473 19
1891,478 474
1892,451 496
1893,394 320
1894,471 434
1895,559 518
1896,189 434
1897,171 41
1898,377 60
1899,64 157
1900,566 569
1901,328 90
1902,450 129
1903,434 256
1904,446 269
1905,446 216
1906,68 86
1907,107 115
1908,377 394
1909,29 51
1910,233 252
1911,233 404
1912,233 532
1913,233 115
1914,371 211
1915,543 183
1916,160 314
1917,160 17
1918,173 134
1919,125 353
1920,160 42
1921,371 63
1922,338 160
1923,452 141
1924,159 233
1925,159 237
1926,159 210
1927,159 234
1928,159 238
1929,159 158
1930,159 235
1931,159 240
1932,159 236
1933,159 241
1934,159 242
1935,159 243
1936,159 244
1937,299 184
1938,452 359
1939,541 150
1940,305 552
1941,61 61
1942,61 394
1943,350 572
1944,573 566
1945,361 113
1946,361 443
1947,361 263
1948,361 114
1949,361 245
1950,361 47
1951,295 459
1952,105 180
1953,303 89
1954,63 211
1955,39 86
1956,58 63
1957,160 367
1958,285 552
1959,62 132
1960,280 574
1961,160 377
1962,257 180
1963,493 129
1964,136 135
1965,234 234
1966,483 214
1967,136 251
1968,178 575
1969,226 440
1970,234 210
1971,234 236
1972,374 7
1973,60 377
1974,142 576
1975,377 160
1976,35 28
1977,113 28
1978,114 417
1979,129 172
1980,72 259
1981,577 375
1982,98 99
1983,577 578
1984,450 142
1985,232 61
1986,232 53
1987,216 579
1988,129 493
1989,172 129
1990,490 434
1991,28 113
1992,232 41
1993,259 74
1994,259 248
1995,580 580
1996,74 311
1997,74 341
1998,43 43
1999,581 41
2000,282 74
2001,582 62
2002,274 269
2003,212 256
2004,103 232
2005,62 531
2006,62 77
2007,7 569
2008,285 174
2009,264 500
2010,264 440
2011,264 452
2012,249 283
2013,114 371
2014,458 458
2015,484 563
2016,521 583
2017,521 482
2018,62 582
2019,273 269
2020,42 405
2021,140 269
2022,209 209
2023,209 121
2024,391 368
2025,272 290
2026,272 584
2027,43 505
2028,114 78
2029,114 531
2030,285 155
2031,429 428
2032,429 269
2033,53 280
2034,377 295
2035,377 284
2036,5 232
2037,5 53
2038,498 506
2039,247 246
2040,296 387
2041,247 19
2042,6 134
2043,5 115
2044,211 63
2045,211 552
2046,284 232
2047,5 528
2048,95 95
2049,90 90
2050,210 420
2051,197 197
2052,286 286
2053,2 192
2054,528 5
2055,359 529
2056,585 585
2057,230 230
2058,484 290
2059,255 255
2060,362 362
2061,506 506
2062,495 208
2063,411 411
2064,284 351
2065,329 208
2066,195 4
2067,495 371
2068,106 21
2069,106 20
2070,484 143
2071,128 128
2072,2 586
2073,2 408
2074,2 138
2075,2 434
2076,2 6
2077,2 281
2078,6 2
2079,6 4
2080,450 542
2081,464 41
2082,340 482
2083,121 209
2084,579 269
2085,579 216
2086,194 587
2087,213 473
2088,413 542
2089,219 79
2090,29 24
2091,29 28
2092,29 31
2093,29 32
2094,29 36
2095,29 37
2096,29 588
2097,333 263
2098,232 60
2099,375 80
2100,282 589
2101,92 21
2102,554 419
2103,142 282
2104,58 2
2105,335 139
2106,92 137
2107,155 429
2108,419 554
2109,62 355
2110,335 269
2111,218 459
2112,51 232
2113,38 443
2114,570 569
2115,23 590
2116,351 284
2117,413 172
2118,60 232
2119,114 208
2120,96 591
2121,217 71
2122,232 51
2123,274 592
2124,81 509
2125,420 210
2126,62 45
2127,593 197
2128,262 215
2129,168 280
2130,513 173
2131,21 92
2132,95 196
2133,95 51
2134,95 199
2135,95 200
2136,95 128
2137,95 167
2138,95 206
2139,95 93
2140,372 282
