id,label,timeset
Long Island Mac Arthur,Long Island Mac Arthur,
Salt Lake City Intl,Salt Lake City Intl,
Burlington Regional,Burlington Regional,
La Guardia,La Guardia,
Newark Intl,Newark Intl,
Greater Peoria Regional,Greater Peoria Regional,
Lehigh Valley Intll,Lehigh Valley Intll,
John F Kennedy Intl,John F Kennedy Intl,
Redding Muni,Redding Muni,
Pittsburgh Intll,Pittsburgh Intll,
Yampa Valley,Yampa Valley,
Bloomington/Normal,Bloomington/Normal,
Purdue University,Purdue University,
Mercer County,Mercer County,
Harrisburg Intll,Harrisburg Intll,
University Of Illinois-Willard,University Of Illinois-Willard,
Port Columbus Intl,Port Columbus Intl,
Quincy Muni Baldwin Field,Quincy Muni Baldwin Field,
James M Cox Dayton Intl,James M Cox Dayton Intl,
Philadelphia Intl,Philadelphia Intl,
Capital,Capital,
Decatur,Decatur,
Chico Muni,Chico Muni,
Stapleton Intl,Stapleton Intl,
Indianapolis Intl,Indianapolis Intl,
Eagle County Regional,Eagle County Regional,
Reno/Tahoe Intll,Reno/Tahoe Intll,
Atlantic City Intll,Atlantic City Intll,
Hulman Regional,Hulman Regional,
Kansas City Intl,Kansas City Intl,
Aspen-Pitkin Co/Sardy Field,Aspen-Pitkin Co/Sardy Field,
Baltimore-Washington Intl,Baltimore-Washington Intl,
Walker Field,Walker Field,
Cincinnati/Northern Kentucky I,Cincinnati/Northern Kentucky I,
Washington Dulles Intl,Washington Dulles Intl,
Lake Tahoe,Lake Tahoe,
Washington National,Washington National,
Columbia Regional,Columbia Regional,
City Of Colorado Springs Muni,City Of Colorado Springs Muni,
Lambert-St Louis Intl,Lambert-St Louis Intl,
Sacramento Metropolitan,Sacramento Metropolitan,
Gunnison County,Gunnison County,
Sonoma County,Sonoma County,
Yeager,Yeager,
Tri-State/Milton J.Ferguson Fi,Tri-State/Milton J.Ferguson Fi,
Pueblo Memorial,Pueblo Memorial,
Louisville Intl,Louisville Intl,
Charlottesville-Albemarle,Charlottesville-Albemarle,
Evansville Regional,Evansville Regional,
Blue Grass,Blue Grass,
Stockton Metropolitan,Stockton Metropolitan,
Greenbrier Valley,Greenbrier Valley,
Williamson County Regional,Williamson County Regional,
Forney Aaf,Forney Aaf,
Metropolitan Oakland Intl,Metropolitan Oakland Intl,
Wichita Mid-Continent,Wichita Mid-Continent,
Modesto City-County--Harry Sha,Modesto City-County--Harry Sha,
Mammoth Lakes,Mammoth Lakes,
San Francisco Intl,San Francisco Intl,
Richmond Intll,Richmond Intll,
San Jose Intll,San Jose Intll,
Roanoke Regional/Woodrum Field,Roanoke Regional/Woodrum Field,
Merced Municipal/Macready Fiel,Merced Municipal/Macready Fiel,
Springfield Regional,Springfield Regional,
Cape Girardeau Regional,Cape Girardeau Regional,
Durango-La Plata County,Durango-La Plata County,
Joplin Regional,Joplin Regional,
Newport News/Williamsburg Inte,Newport News/Williamsburg Inte,
Barkley Regional,Barkley Regional,
Norfolk Intl,Norfolk Intl,
Fresno Air Terminal,Fresno Air Terminal,
Monterey Peninsula,Monterey Peninsula,
Tri-Cities Regional Tn/Va,Tri-Cities Regional Tn/Va,
Tulsa Intl,Tulsa Intl,
Nashville Intll,Nashville Intll,
Piedmont Triad Intll,Piedmont Triad Intll,
Mc Carran Intl,Mc Carran Intl,
Drake Field,Drake Field,
Raleigh-Durham Intll,Raleigh-Durham Intll,
Mc Ghee Tyson,Mc Ghee Tyson,
Asheville Regional,Asheville Regional,
Meadows Field,Meadows Field,
Will Rogers World,Will Rogers World,
Fort Smith Regional,Fort Smith Regional,
Kinston Regional Jetport At St,Kinston Regional Jetport At St,
San Luis Obispo County-Mc Ches,San Luis Obispo County-Mc Ches,
Amarillo Intl,Amarillo Intl,
Charlotte/Douglas Intl,Charlotte/Douglas Intl,
Flagstaff Pulliam,Flagstaff Pulliam,
Memphis Intl,Memphis Intl,
Albuquerque Intl,Albuquerque Intl,
Lovell Field,Lovell Field,
Fayetteville Regional/Grannis,Fayetteville Regional/Grannis,
Santa Maria Pub/Capt G Allan H,Santa Maria Pub/Capt G Allan H,
Greenville-Spartanburg,Greenville-Spartanburg,
Albert J Ellis,Albert J Ellis,
Adams Field,Adams Field,
Huntsville Intl-Carl T Jones F,Huntsville Intl-Carl T Jones F,
Lawton Muni,Lawton Muni,
Santa Barbara Muni,Santa Barbara Muni,
New Hanover Intll,New Hanover Intll,
Oxnard,Oxnard,
Burbank-Glendale-Pasadena,Burbank-Glendale-Pasadena,
Ontario Intl,Ontario Intl,
Sheppard Afb/Wichita Falls Mun,Sheppard Afb/Wichita Falls Mun,
Los Angeles Intl,Los Angeles Intl,
Columbia Metropolitan,Columbia Metropolitan,
Palm Springs Regional,Palm Springs Regional,
Long Beach /Daugherty Field/,Long Beach /Daugherty Field/,
Myrtle Beach Intl,Myrtle Beach Intl,
John Wayne Airport-Orange Coun,John Wayne Airport-Orange Coun,
Lubbock Intl,Lubbock Intl,
The William B Hartsfield Atlan,The William B Hartsfield Atlan,
Birmingham Intl,Birmingham Intl,
Texarkana Regional-Webb Field,Texarkana Regional-Webb Field,
Phoenix Sky Harbor Intl,Phoenix Sky Harbor Intl,
Bush Field,Bush Field,
Charleston Afb/Intl,Charleston Afb/Intl,
Dallas/Fort Worth Intl,Dallas/Fort Worth Intl,
Dallas Love Field,Dallas Love Field,
San Diego Intl-Lindbergh Fld,San Diego Intl-Lindbergh Fld,
Yuma Mcas/Yuma Intl,Yuma Mcas/Yuma Intl,
Columbus Metropolitan,Columbus Metropolitan,
Monroe Regional,Monroe Regional,
Shreveport Regional,Shreveport Regional,
Abilene Regional,Abilene Regional,
Gregg County,Gregg County,
Tyler Pounds Field,Tyler Pounds Field,
Jackson Intll,Jackson Intll,
Dannelly Field,Dannelly Field,
Savannah Intll,Savannah Intll,
Tucson Intl,Tucson Intl,
Midland Intll,Midland Intll,
El Paso Intl,El Paso Intl,
Waco Regional,Waco Regional,
Alexandria Esler Regional,Alexandria Esler Regional,
Mathis Field,Mathis Field,
Killeen Muni,Killeen Muni,
Mobile Regional,Mobile Regional,
Easterwood Field,Easterwood Field,
"Baton Rouge Metropolitan, Ryan","Baton Rouge Metropolitan, Ryan",
Jacksonville Intl,Jacksonville Intl,
Eglin Afb,Eglin Afb,
Pensacola Regional,Pensacola Regional,
Tallahassee Regional,Tallahassee Regional,
Robert Mueller Muni,Robert Mueller Muni,
Panama City-Bay Co Intl,Panama City-Bay Co Intl,
Lafayette Regional,Lafayette Regional,
Lake Charles Regional,Lake Charles Regional,
New Orleans Intl/Moisant Fld/,New Orleans Intl/Moisant Fld/,
Houston Intercontinental,Houston Intercontinental,
Jefferson County,Jefferson County,
Gainesville Regional,Gainesville Regional,
William P Hobby,William P Hobby,
San Antonio Intl,San Antonio Intl,
Daytona Beach Intl,Daytona Beach Intl,
Orlando Intl,Orlando Intl,
Melbourne Intll,Melbourne Intll,
Tampa Intl,Tampa Intl,
St Petersburg/Clearwater Intl,St Petersburg/Clearwater Intl,
Corpus Christi Intl,Corpus Christi Intl,
Laredo Intl,Laredo Intl,
Sarasota/Bradenton Intl,Sarasota/Bradenton Intl,
Palm Beach Intl,Palm Beach Intl,
Southwest Florida Intl,Southwest Florida Intl,
Rio Grande Valley Intl,Rio Grande Valley Intl,
Mc Allen Miller Intl,Mc Allen Miller Intl,
Fort Lauderdale/Hollywood Intl,Fort Lauderdale/Hollywood Intl,
Miami Intl,Miami Intl,
Lihue,Lihue,
Honolulu Intl,Honolulu Intl,
Molokai,Molokai,
Kapalua,Kapalua,
Kahului,Kahului,
Lanai,Lanai,
Keahole-Kona Intll,Keahole-Kona Intll,
Hilo Intll,Hilo Intll,
Rafael Hernandez,Rafael Hernandez,
Luis Munoz Marin Intl,Luis Munoz Marin Intl,
Cyril E King,Cyril E King,
Eugenio Maria De Hostos,Eugenio Maria De Hostos,
Mercedita,Mercedita,
Alexander Hamilton,Alexander Hamilton,
Johnston Atoll,Johnston Atoll,
Saipan Intl,Saipan Intl,
Rota Intl,Rota Intl,
Guam Intll,Guam Intll,
Babelthuap/Koror,Babelthuap/Koror,
Pago Pago Intl,Pago Pago Intl,
West Tinian,West Tinian,
