,0 1
529,530 14
530,531 3
531,532 21
532,533 35
533,534 4
534,535 9
535,536 15
536,537 6
537,538 9
538,539 3
539,540 15
540,541 23
541,542 4
542,543 4
543,544 4
544,545 11
545,546 35
546,547 10
547,548 6
548,549 15
549,550 15
550,551 15
551,552 22
552,553 2
553,554 2
554,555 14
555,556 4
556,557 3
557,558 14
558,559 27
559,560 31
560,561 34
561,562 4
562,563 4
563,564 19
564,565 14
565,566 14
566,567 4
567,568 4
568,569 14
569,570 14
570,571 21
571,572 4
572,573 14
573,574 4
574,575 0
575,576 4
576,577 27
577,578 27
578,579 17
579,580 16
580,581 3
581,582 15
582,583 2
583,584 4
584,585 4
585,586 21
586,587 21
587,588 11
588,589 23
589,590 11
590,591 23
591,592 17
592,593 5
593,594 36
594,595 15
595,596 23
596,597 23
597,598 2
598,599 19
599,600 4
600,601 36
601,602 14
602,603 1
603,604 22
604,605 1
605,606 21
606,607 34
607,608 14
608,609 13
609,610 6
610,611 4
611,612 37
612,613 6
613,614 24
614,615 35
615,616 6
616,617 17
617,618 16
618,619 6
619,620 4
620,621 0
621,622 21
622,623 4
623,624 26
624,625 21
625,626 4
626,627 15
627,628 7
628,629 1
629,630 20
630,631 19
631,632 7
632,633 21
633,634 21
634,635 21
635,636 21
636,637 19
637,638 38
638,639 19
639,640 16
640,641 23
641,642 6
642,643 37
643,644 25
644,645 1
645,646 22
646,647 6
647,648 21
648,649 14
649,650 1
650,651 26
651,652 8
652,653 7
653,654 37
654,655 4
655,656 0
656,657 17
657,658 14
658,659 6
659,660 17
660,661 14
661,662 16
662,663 15
663,664 4
664,665 32
665,666 14
666,667 15
667,668 0
668,669 23
669,670 21
670,671 29
671,672 14
672,673 23
673,674 14
674,675 1
675,676 17
676,677 26
677,678 15
678,679 29
679,680 0
680,681 0
681,682 0
682,683 22
683,684 34
684,685 21
685,686 6
686,687 16
687,688 4
688,689 4
689,690 15
690,691 21
691,692 0
692,693 36
693,694 4
694,695 23
695,696 1
696,697 1
697,698 22
698,699 14
699,700 14
700,701 30
701,702 4
702,703 9
703,704 10
704,705 4
705,706 4
706,707 14
707,708 16
708,709 16
709,710 15
710,711 21
711,712 0
712,713 15
713,714 4
714,715 15
715,716 29
716,717 24
717,718 21
718,719 7
719,720 14
720,721 11
721,722 11
722,723 9
723,724 13
724,725 10
725,726 31
726,727 4
727,728 22
728,729 14
729,730 23
730,731 1
731,732 4
732,733 9
733,734 1
734,735 17
735,736 27
736,737 28
737,738 22
738,739 14
739,740 20
740,741 7
741,742 23
742,743 1
743,744 4
744,745 6
745,746 15
746,747 15
747,748 23
748,749 4
749,750 20
750,751 5
751,752 36
752,753 10
753,754 14
754,755 21
755,756 39
756,757 10
757,758 41
758,759 31
759,760 17
760,761 7
761,762 21
762,763 34
763,764 1
764,765 14
765,766 2
766,767 18
767,768 16
768,769 27
769,770 16
770,771 38
771,772 7
772,773 38
773,774 21
774,775 1
775,776 5
776,777 9
777,778 15
778,779 15
779,780 15
780,781 0
781,782 6
782,783 23
783,784 28
784,785 11
785,786 23
786,787 34
787,788 24
788,789 4
789,790 4
790,791 4
791,792 24
792,793 23
793,794 17
794,795 10
795,796 17
796,797 1
797,798 1
798,799 15
799,800 15
800,801 4
801,802 4
802,803 21
803,804 14
804,805 14
805,806 20
806,807 28
807,808 20
808,809 22
809,810 26
810,811 3
811,812 32
812,813 4
813,814 0
814,815 21
815,816 13
816,817 4
817,818 15
818,819 17
819,820 5
820,821 24
821,822 4
822,823 14
823,824 0
824,825 9
825,826 21
826,827 14
827,828 38
828,829 4
829,830 14
830,831 31
831,832 21
832,833 14
833,834 6
834,835 4
835,836 4
836,837 6
837,838 17
838,839 0
839,840 4
840,841 7
841,842 16
842,843 4
843,844 4
844,845 21
845,846 1
846,847 10
847,848 3
848,849 21
849,850 4
850,851 0
851,852 1
852,853 7
853,854 17
854,855 15
855,856 14
856,857 0
857,858 9
858,859 32
859,860 13
860,861 5
861,862 2
862,863 21
863,864 28
864,865 21
865,866 22
866,867 22
867,868 7
868,869 7
869,870 33
870,871 0
871,872 1
872,873 15
873,874 4
874,875 31
875,876 30
876,877 15
877,878 11
878,879 19
879,880 21
880,881 9
881,882 21
882,883 13
883,884 21
884,885 9
885,886 32
886,887 9
887,888 32
888,889 38
889,890 9
890,891 38
891,892 38
892,893 14
893,894 9
894,895 10
895,896 38
896,897 10
897,898 22
898,899 21
899,900 13
900,901 21
901,902 4
902,903 0
903,904 1
904,905 1
905,906 23
906,907 0
907,908 5
908,909 4
909,910 4
910,911 15
911,912 14
912,913 14
913,914 13
914,915 11
915,916 1
916,917 5
917,918 5
918,919 10
919,920 23
920,921 21
921,922 14
922,923 9
923,924 20
924,925 10
925,926 19
926,927 19
927,928 21
928,929 17
929,930 19
930,931 19
931,932 36
932,933 17
933,934 35
934,935 16
935,936 4
936,937 16
937,938 4
938,939 6
939,940 4
940,941 41
941,942 6
942,943 7
943,944 23
944,945 9
945,946 23
946,947 7
947,948 6
948,949 22
949,950 36
950,951 14
951,952 15
952,953 11
953,954 35
954,955 5
955,956 14
956,957 14
957,958 15
958,959 4
959,960 6
960,961 4
961,962 9
962,963 19
963,964 11
964,965 4
965,966 29
966,967 14
967,968 15
968,969 15
969,970 5
970,971 32
971,972 15
972,973 14
973,974 5
974,975 9
975,976 10
976,977 19
977,978 13
978,979 23
979,980 12
980,981 10
981,982 21
982,983 10
983,984 35
984,985 7
985,986 22
986,987 22
987,988 22
988,989 8
989,990 21
990,991 32
991,992 4
992,993 21
993,994 21
994,995 6
995,996 14
996,997 11
997,998 14
998,999 15
999,1000 4
1000,1001 21
1001,1002 1
1002,1003 6
1003,1004 22
