source,target,Type,Id,Label,timeset,weight
Salt Lake City Intl,The William B Hartsfield Atlan,Directed,158,,,0.156
The William B Hartsfield Atlan,San Diego Intl-Lindbergh Fld,Directed,159,,,0.167
The William B Hartsfield Atlan,Tampa Intl,Directed,160,,,0.0551
Baltimore-Washington Intl,The William B Hartsfield Atlan,Directed,161,,,0.0659
Washington Dulles Intl,The William B Hartsfield Atlan,Directed,162,,,0.0618
Raleigh-Durham Intll,The William B Hartsfield Atlan,Directed,163,,,0.0357
Cincinnati/Northern Kentucky I,The William B Hartsfield Atlan,Directed,164,,,0.0516
The William B Hartsfield Atlan,Fort Lauderdale/Hollywood Intl,Directed,165,,,0.0756
Memphis Intl,The William B Hartsfield Atlan,Directed,166,,,0.0313
Cleveland-Hopkins Intl,The William B Hartsfield Atlan,Directed,167,,,0.0753
The William B Hartsfield Atlan,Luis Munoz Marin Intl,Directed,168,,,0.1729
The William B Hartsfield Atlan,William P Hobby,Directed,169,,,0.0672
Chicago Midway,The William B Hartsfield Atlan,Directed,170,,,0.0796
Nashville Intll,The William B Hartsfield Atlan,Directed,171,,,0.0263
Kansas City Intl,The William B Hartsfield Atlan,Directed,172,,,0.0752
The William B Hartsfield Atlan,New Orleans Intl/Moisant Fld/,Directed,173,,,0.0458
Portland Intl,The William B Hartsfield Atlan,Directed,174,,,0.2254
Indianapolis Intl,The William B Hartsfield Atlan,Directed,175,,,0.0588
The William B Hartsfield Atlan,Palm Beach Intl,Directed,176,,,0.0701
The William B Hartsfield Atlan,San Antonio Intl,Directed,177,,,0.0816
Ontario Intl,The William B Hartsfield Atlan,Directed,178,,,0.1689
Bradley Intl,The William B Hartsfield Atlan,Directed,179,,,0.0992
John Wayne Airport-Orange Coun,The William B Hartsfield Atlan,Directed,180,,,0.1703
General Mitchell Intll,The William B Hartsfield Atlan,Directed,181,,,0.0906
The William B Hartsfield Atlan,Robert Mueller Muni,Directed,182,,,0.0748
James M Cox Dayton Intl,The William B Hartsfield Atlan,Directed,183,,,0.0598
Port Columbus Intl,The William B Hartsfield Atlan,Directed,184,,,0.0612
The William B Hartsfield Atlan,Southwest Florida Intl,Directed,185,,,0.0692
Greater Buffalo Intl,The William B Hartsfield Atlan,Directed,186,,,0.0934
The William B Hartsfield Atlan,El Paso Intl,Directed,187,,,0.1132
Will Rogers World,The William B Hartsfield Atlan,Directed,188,,,0.0691
Tulsa Intl,The William B Hartsfield Atlan,Directed,189,,,0.0633
The William B Hartsfield Atlan,Jacksonville Intl,Directed,190,,,0.0332
Norfolk Intl,The William B Hartsfield Atlan,Directed,191,,,0.0521
Syracuse Hancock Intl,The William B Hartsfield Atlan,Directed,192,,,0.0998
Greater Rochester Intl,The William B Hartsfield Atlan,Directed,193,,,0.0968
Theodore Francis Green State,The William B Hartsfield Atlan,Directed,194,,,0.1017
The William B Hartsfield Atlan,Birmingham Intl,Directed,195,,,0.0118
Louisville Intl,The William B Hartsfield Atlan,Directed,196,,,0.0438
Eppley Airfield,The William B Hartsfield Atlan,Directed,197,,,0.0936
The William B Hartsfield Atlan,Sarasota/Bradenton Intl,Directed,198,,,0.0605
Adams Field,The William B Hartsfield Atlan,Directed,199,,,0.041
Richmond Intll,The William B Hartsfield Atlan,Directed,200,,,0.0517
Piedmont Triad Intll,The William B Hartsfield Atlan,Directed,201,,,0.0327
The William B Hartsfield Atlan,Charleston Afb/Intl,Directed,202,,,0.0234
Harrisburg Intll,The William B Hartsfield Atlan,Directed,203,,,0.0738
Greenville-Spartanburg,The William B Hartsfield Atlan,Directed,204,,,0.0165
Mc Ghee Tyson,The William B Hartsfield Atlan,Directed,205,,,0.0208
The William B Hartsfield Atlan,Cyril E King,Directed,206,,,0.1767
Columbia Metropolitan,The William B Hartsfield Atlan,Directed,207,,,0.0171
The William B Hartsfield Atlan,Savannah Intll,Directed,208,,,0.0219
The William B Hartsfield Atlan,Daytona Beach Intl,Directed,209,,,0.046
Huntsville Intl-Carl T Jones F,The William B Hartsfield Atlan,Directed,210,,,0.0152
The William B Hartsfield Atlan,Tallahassee Regional,Directed,211,,,0.031
The William B Hartsfield Atlan,"Baton Rouge Metropolitan, Ryan",Directed,212,,,0.0453
The William B Hartsfield Atlan,Pensacola Regional,Directed,213,,,0.0334
The William B Hartsfield Atlan,Jackson Intll,Directed,214,,,0.0315
Blue Grass,The William B Hartsfield Atlan,Directed,215,,,0.042
The William B Hartsfield Atlan,Mobile Regional,Directed,216,,,0.0342
The William B Hartsfield Atlan,Melbourne Intll,Directed,217,,,0.0564
Fort Wayne Intll,The William B Hartsfield Atlan,Directed,218,,,0.0702
The William B Hartsfield Atlan,Shreveport Regional,Directed,219,,,0.0493
Toledo Express,The William B Hartsfield Atlan,Directed,220,,,0.076
Lovell Field,The William B Hartsfield Atlan,Directed,221,,,0.0139
Asheville Regional,The William B Hartsfield Atlan,Directed,222,,,0.0196
Wilkes-Barre/Scranton Intl,The William B Hartsfield Atlan,Directed,223,,,0.0858
The William B Hartsfield Atlan,Gainesville Regional,Directed,224,,,0.0394
Tri-Cities Regional Tn/Va,The William B Hartsfield Atlan,Directed,225,,,0.0289
The William B Hartsfield Atlan,Dannelly Field,Directed,226,,,0.0163
Stewart Int'l,The William B Hartsfield Atlan,Directed,227,,,0.0917
The William B Hartsfield Atlan,Columbus Metropolitan,Directed,228,,,0.0111
The William B Hartsfield Atlan,Monroe Regional,Directed,229,,,0.0403
The William B Hartsfield Atlan,Panama City-Bay Co Intl,Directed,230,,,0.0334
Gunnison County,The William B Hartsfield Atlan,Directed,231,,,0.1237
Chicago O'hare Intl,Los Angeles Intl,Directed,232,,,0.1733
San Francisco Intl,Los Angeles Intl,Directed,233,,,0.0406
Los Angeles Intl,Miami Intl,Directed,234,,,0.2091
Los Angeles Intl,Phoenix Sky Harbor Intl,Directed,235,,,0.0329
Lambert-St Louis Intl,Los Angeles Intl,Directed,236,,,0.15
Minneapolis-St Paul Intl/Wold-,Los Angeles Intl,Directed,237,,,0.1655
Los Angeles Intl,Orlando Intl,Directed,238,,,0.1961
Pittsburgh Intll,Los Angeles Intl,Directed,239,,,0.2042
Philadelphia Intl,Los Angeles Intl,Directed,240,,,0.227
Seattle-Tacoma Intl,Los Angeles Intl,Directed,241,,,0.1305
Salt Lake City Intl,Los Angeles Intl,Directed,242,,,0.0731
Los Angeles Intl,San Diego Intl-Lindbergh Fld,Directed,243,,,0.0131
Los Angeles Intl,Tampa Intl,Directed,244,,,0.1914
Memphis Intl,Los Angeles Intl,Directed,245,,,0.1451
Kansas City Intl,Los Angeles Intl,Directed,246,,,0.131
Los Angeles Intl,New Orleans Intl/Moisant Fld/,Directed,247,,,0.1482
San Jose Intll,Los Angeles Intl,Directed,248,,,0.0373
Portland Intl,Los Angeles Intl,Directed,249,,,0.1133
Metropolitan Oakland Intl,Los Angeles Intl,Directed,250,,,0.041
Los Angeles Intl,John Wayne Airport-Orange Coun,Directed,251,,,0.0037
Los Angeles Intl,Kahului,Directed,252,,,0.2303
General Mitchell Intll,Los Angeles Intl,Directed,253,,,0.1776
Sacramento Metropolitan,Los Angeles Intl,Directed,254,,,0.0483
Burbank-Glendale-Pasadena,Los Angeles Intl,Directed,255,,,0.0025
Reno/Tahoe Intll,Los Angeles Intl,Directed,256,,,0.0536
Los Angeles Intl,Tucson Intl,Directed,257,,,0.0418
Los Angeles Intl,Palm Springs Regional,Directed,258,,,0.0097
Santa Barbara Muni,Los Angeles Intl,Directed,259,,,0.0087
Monterey Peninsula,Los Angeles Intl,Directed,260,,,0.0308
Los Angeles Intl,Pago Pago Intl,Directed,261,,,0.5326
Oxnard,Los Angeles Intl,Directed,262,,,0.0048
Eagle County Regional,Los Angeles Intl,Directed,263,,,0.08
Lambert-St Louis Intl,San Francisco Intl,Directed,264,,,0.1634
Salt Lake City Intl,San Francisco Intl,Directed,265,,,0.0609
San Francisco Intl,San Jose Intll,Directed,266,,,0.0033
Metropolitan Oakland Intl,San Francisco Intl,Directed,267,,,0.0011
San Francisco Intl,John Wayne Airport-Orange Coun,Directed,268,,,0.0441
Sacramento Metropolitan,San Francisco Intl,Directed,269,,,0.011
Lake Tahoe,San Francisco Intl,Directed,270,,,0.0171
Sonoma County,San Francisco Intl,Directed,271,,,0.0088
San Francisco Intl,Santa Maria Pub/Capt G Allan H,Directed,272,,,0.0278
Chicago O'hare Intl,John F Kennedy Intl,Directed,273,,,0.073
John F Kennedy Intl,Los Angeles Intl,Directed,274,,,0.236
John F Kennedy Intl,San Francisco Intl,Directed,275,,,0.2491
John F Kennedy Intl,Miami Intl,Directed,276,,,0.1456
La Guardia,John F Kennedy Intl,Directed,277,,,0.0014
John F Kennedy Intl,Phoenix Sky Harbor Intl,Directed,278,,,0.2065
John F Kennedy Intl,Lambert-St Louis Intl,Directed,279,,,0.0863
Minneapolis-St Paul Intl/Wold-,John F Kennedy Intl,Directed,280,,,0.1069
John F Kennedy Intl,Mc Carran Intl,Directed,281,,,0.2151
John F Kennedy Intl,Orlando Intl,Directed,282,,,0.1227
John F Kennedy Intl,Pittsburgh Intll,Directed,283,,,0.0328
John F Kennedy Intl,Philadelphia Intl,Directed,284,,,0.0104
Seattle-Tacoma Intl,John F Kennedy Intl,Directed,285,,,0.2555
Salt Lake City Intl,John F Kennedy Intl,Directed,286,,,0.1945
John F Kennedy Intl,San Diego Intl-Lindbergh Fld,Directed,287,,,0.2335
John F Kennedy Intl,Tampa Intl,Directed,288,,,0.1289
John F Kennedy Intl,Raleigh-Durham Intll,Directed,289,,,0.0522
John F Kennedy Intl,Luis Munoz Marin Intl,Directed,290,,,0.2158
John F Kennedy Intl,New Orleans Intl/Moisant Fld/,Directed,291,,,0.1318
John F Kennedy Intl,Palm Beach Intl,Directed,292,,,0.1371
John F Kennedy Intl,Norfolk Intl,Directed,293,,,0.0379
Syracuse Hancock Intl,John F Kennedy Intl,Directed,294,,,0.0264
Greater Rochester Intl,John F Kennedy Intl,Directed,295,,,0.0309
John F Kennedy Intl,Richmond Intll,Directed,296,,,0.0349
John F Kennedy Intl,Cyril E King,Directed,297,,,0.2178
John F Kennedy Intl,Mercedita,Directed,298,,,0.2193
Chicago O'hare Intl,Stapleton Intl,Directed,299,,,0.089
Stapleton Intl,Dallas/Fort Worth Intl,Directed,300,,,0.077
Stapleton Intl,Los Angeles Intl,Directed,301,,,0.0886
Stapleton Intl,San Francisco Intl,Directed,302,,,0.0914
John F Kennedy Intl,Stapleton Intl,Directed,303,,,0.1586
Stapleton Intl,Miami Intl,Directed,304,,,0.1832
La Guardia,Stapleton Intl,Directed,305,,,0.1583
Newark Intl,Stapleton Intl,Directed,306,,,0.1567
Stapleton Intl,Phoenix Sky Harbor Intl,Directed,307,,,0.0706
Detroit Metropolitan Wayne Cou,Stapleton Intl,Directed,308,,,0.1121
Stapleton Intl,Honolulu Intl,Directed,309,,,0.3226
Stapleton Intl,Lambert-St Louis Intl,Directed,310,,,0.0746
Minneapolis-St Paul Intl/Wold-,Stapleton Intl,Directed,311,,,0.077
Stapleton Intl,Mc Carran Intl,Directed,312,,,0.0631
Stapleton Intl,Orlando Intl,Directed,313,,,0.1618
Pittsburgh Intll,Stapleton Intl,Directed,314,,,0.1258
Stapleton Intl,Houston Intercontinental,Directed,315,,,0.1055
Philadelphia Intl,Stapleton Intl,Directed,316,,,0.151
Seattle-Tacoma Intl,Stapleton Intl,Directed,317,,,0.115
Salt Lake City Intl,Stapleton Intl,Directed,318,,,0.0374
Stapleton Intl,San Diego Intl-Lindbergh Fld,Directed,319,,,0.0919
Stapleton Intl,Tampa Intl,Directed,320,,,0.1603
Stapleton Intl,Washington Dulles Intl,Directed,321,,,0.1399
Stapleton Intl,Memphis Intl,Directed,322,,,0.0883
Stapleton Intl,William P Hobby,Directed,323,,,0.1085
Chicago Midway,Stapleton Intl,Directed,324,,,0.0894
Stapleton Intl,Kansas City Intl,Directed,325,,,0.052
Stapleton Intl,New Orleans Intl/Moisant Fld/,Directed,326,,,0.1196
Stapleton Intl,San Jose Intll,Directed,327,,,0.0898
Portland Intl,Stapleton Intl,Directed,328,,,0.1059
Stapleton Intl,Indianapolis Intl,Directed,329,,,0.0947
Stapleton Intl,Metropolitan Oakland Intl,Directed,330,,,0.0905
Stapleton Intl,San Antonio Intl,Directed,331,,,0.1032
Stapleton Intl,Ontario Intl,Directed,332,,,0.0847
Stapleton Intl,John Wayne Airport-Orange Coun,Directed,333,,,0.0881
General Mitchell Intll,Stapleton Intl,Directed,334,,,0.0917
Stapleton Intl,Sacramento Metropolitan,Directed,335,,,0.0857
Stapleton Intl,El Paso Intl,Directed,336,,,0.0766
Stapleton Intl,Will Rogers World,Directed,337,,,0.056
Stapleton Intl,Reno/Tahoe Intll,Directed,338,,,0.0758
Stapleton Intl,Tulsa Intl,Directed,339,,,0.0572
Stapleton Intl,Tucson Intl,Directed,340,,,0.0794
Eppley Airfield,Stapleton Intl,Directed,341,,,0.0481
Spokane Intl,Stapleton Intl,Directed,342,,,0.0988
Des Moines Intl,Stapleton Intl,Directed,343,,,0.0596
Stapleton Intl,Long Beach /Daugherty Field/,Directed,344,,,0.0883
Stapleton Intl,Wichita Mid-Continent,Directed,345,,,0.0431
Dane County Regional-Truax Fie,Stapleton Intl,Directed,346,,,0.0855
Stapleton Intl,Fresno Air Terminal,Directed,347,,,0.0808
Stapleton Intl,Palm Springs Regional,Directed,348,,,0.0821
Quad-City,Stapleton Intl,Directed,349,,,0.0749
Stapleton Intl,Santa Barbara Muni,Directed,350,,,0.0917
Mahlon Sweet Field,Stapleton Intl,Directed,351,,,0.1021
Lincoln Muni,Stapleton Intl,Directed,352,,,0.0426
Joe Foss Field,Stapleton Intl,Directed,353,,,0.0551
Stapleton Intl,Springfield Regional,Directed,354,,,0.0634
Greater Peoria Regional,Stapleton Intl,Directed,355,,,0.0779
Hector Intll,Stapleton Intl,Directed,356,,,0.0796
Jackson Hole,Stapleton Intl,Directed,357,,,0.0472
Stapleton Intl,Walker Field,Directed,358,,,0.0195
Missoula Intll,Stapleton Intl,Directed,359,,,0.0828
Sioux Gateway,Stapleton Intl,Directed,360,,,0.05
Minot Intl,Stapleton Intl,Directed,361,,,0.0831
Elko Muni-J.C. Harris Field,Stapleton Intl,Directed,362,,,0.0564
Stapleton Intl,Gunnison County,Directed,363,,,0.0158
Yampa Valley,Stapleton Intl,Directed,364,,,0.0137
Stapleton Intl,Eagle County Regional,Directed,365,,,0.0104
Chicago O'hare Intl,Miami Intl,Directed,366,,,0.1594
San Francisco Intl,Miami Intl,Directed,367,,,0.2423
Lambert-St Louis Intl,Miami Intl,Directed,368,,,0.134
Minneapolis-St Paul Intl/Wold-,Miami Intl,Directed,369,,,0.1939
Pittsburgh Intll,Miami Intl,Directed,370,,,0.1404
Philadelphia Intl,Miami Intl,Directed,371,,,0.1369
Seattle-Tacoma Intl,Miami Intl,Directed,372,,,0.2976
San Diego Intl-Lindbergh Fld,Miami Intl,Directed,373,,,0.1993
Tampa Intl,Miami Intl,Directed,374,,,0.0237
Raleigh-Durham Intll,Miami Intl,Directed,375,,,0.0966
Miami Intl,Luis Munoz Marin Intl,Directed,376,,,0.1011
New Orleans Intl/Moisant Fld/,Miami Intl,Directed,377,,,0.0647
San Jose Intll,Miami Intl,Directed,378,,,0.2392
Palm Beach Intl,Miami Intl,Directed,379,,,0.0086
General Mitchell Intll,Miami Intl,Directed,380,,,0.1684
Miami Intl,Cyril E King,Directed,381,,,0.1057
Tallahassee Regional,Miami Intl,Directed,382,,,0.0486
Miami Intl,Mercedita,Directed,383,,,0.1021
Chicago O'hare Intl,La Guardia,Directed,384,,,0.0724
La Guardia,Miami Intl,Directed,385,,,0.1468
La Guardia,Lambert-St Louis Intl,Directed,386,,,0.0862
Minneapolis-St Paul Intl/Wold-,La Guardia,Directed,387,,,0.1061
La Guardia,Orlando Intl,Directed,388,,,0.1238
La Guardia,Pittsburgh Intll,Directed,389,,,0.0325
